// primeira questao
#Iterativo-#Recursivo-Diferenca-#Tamanho;
4		11	7	5
6		15	9	7
8		19	11	9
10		23	13	11
12		27	15	13
14		31	17	15

//segunda questao
#Iterativo-#Recursivo-Diferenca-#TipodeVetor;
4		9	5	{0,0,0,0,0}
8		17	9	{-1,0,0,5,9,10,15,20,50}
10		21	11	{-3,-2,-1,0,1,2,3,4,5,6,7}
12		25	13	{3,2,1,0,-1,-2,-3,-4,-5,-6,-7,-8,9}


//terceira questao

#Iterativo-#Recursivo-Diferenca-#ValoresdaBase;
1		1	0	1
3		5	2	3
5		9	4	5
7		13	6	7
9		17	8	9
11		21	10	11


//quarta questao


#Iterativo-#Recursivo-Diferenca-#Tamanho;
2		3	1	3
2		3	1	5
3		4	1	7
3		4	1	9
